Features,,SIG,Assignee,One Line Release Note Description,Needs Docs?,Docs PR,Needs Doc Review,Needs Tech Review,Merged,Notes
DaemonSet updates,Beta,SIG-Apps,"lukaszo, chiachenk ",Implement the update feature for DaemonSet.,yes,https://github.com/kubernetes/kubernetes.github.io/pull/2878,Complete,Complete,yes,
Allow deployments to correctly indicate they are failing to deploy,Beta,SIG-Apps,kargakis,Deployments that cannot make progress in rolling out the newest version will now indicate via the API they are blocked,no,No docs required,n/a,n/a,n/a,
Role-based access control,Beta,SIG-Auth,liggitt,"RBAC API is promoted to v1beta1 (rbac.authorization.k8s.io/v1beta1), and defines default roles for control plane, node, and controller components.",yes,https://github.com/kubernetes/kubernetes.github.io/pull/2618,Complete,Complete,yes,
Kubelet TLS Bootstrap,Beta,SIG-ClusterLifecycle,gtank,Introduces an API for the Kubelet to request TLS certificates from the API server.,yes,https://github.com/kubernetes/kubernetes.github.io/pull/2939,Complete,Complete,yes,
Dramatically Simplify Kubernetes Cluster Creation,Beta,SIG-ClusterLifecycle,jbeda,kubeadm is enhanced and improved with a baseline feature set and command line flags that are now marked as beta.,yes,https://github.com/kubernetes/kubernetes.github.io/pull/2829,Complete,Complete,yes,@lukemarden pulling together release notes
It should be fast and painless to deploy a Federation of Kubernetes clusters,Beta,SIG-Federation,madhusudancs,"`kubefed` has graduated to beta: supports hosting federation on on-prem clusters, automatically configures `kube-dns` in joining clusters and allows passing arguments to federation components.",yes,https://github.com/kubernetes/kubernetes.github.io/pull/2899,Complete,Complete,yes,
Redefine the Container Runtime Interface,Beta,SIG-Node,yujuhong,The Docker-CRI implementation is Beta and is enabled by default in kubelet.  You can disable it by --enable-cri=false.,no,No docs required ,n/a,n/a,n/a,
Inter-pod affinity/anti-affinity ,Beta,SIG-Scheduling,davidopp,"Rules for spreading and packing pods relative to one another, within arbitrary topologies (node, zone, etc.)",yes,https://github.com/kubernetes/kubernetes.github.io/pull/2699,Complete,Complete,yes,
Node affinity,Beta,SIG-Scheduling,davidopp,Rules for restricting which node(s) a pod can schedule onto,yes,https://github.com/kubernetes/kubernetes.github.io/pull/2699,Complete,Complete,yes,
Multiple/user-defined schedulers ,Beta,SIG-Scheduling,timothysc,User can run multiple schedulers in parallel resposible for different sets of pods,yes,https://github.com/kubernetes/kubernetes.github.io/pull/2378,Complete,Complete,yes,
Taints/tolerations including forgiveness (tolerationSeconds),Beta,SIG-Scheduling,davidopp,"Rules for ""repelling"" pods from nodes by default (support use cases like dedicated nodes, and reserve nodes with special features for pods that need those features)",yes,https://github.com/kubernetes/kubernetes.github.io/pull/2774/files,Complete,Complete,yes,
Support Volume Mount Options,Beta,SIG-Storage,gnufied,Added support for mount options in persistent volumes,yes,https://github.com/kubernetes/kubernetes.github.io/pull/2743,Complete,Complete,yes,
etcd v3 as storage backend for APIServer,Stable,SIG-API-machinery,timothysc,The internal storage layer for kubernetes cluster state has been updated to use etcd v3 by default for new clusters.  Old clusters will have to plan for a data migration window.,yes,"https://github.com/kubernetes/kubernetes.github.io/pull/2763 
https://github.com/kubernetes/kubernetes.github.io/pull/2767",Complete,Complete,yes,
Add support for pod and qos level cgroups,Stable,SIG-Node,derekwaynecarr,kubelet launches pods in a new cgroup hierarchy to better enforce quality of service.  Operators must drain all pods from their nodes prior to upgrade of the kubelet.  They must ensure the configured cgroup driver matches their associated container runtime cgroup driver.,yes,https://github.com/kubernetes/kubernetes.github.io/pull/2841,Complete,Complete,yes,this feature requires that operators drain their nodes prior to upgrade of the kubelet
Configurable Dynamic Provisioning aka StorageClass,Stable,SIG-Storage,jsafrane,StorageClass API is promoted to v1 (storage.k8s.io/v1),yes,https://github.com/kubernetes/kubernetes.github.io/pull/2686,Complete,Complete,yes,
Default Storage Classes for Cloud Providers,Stable,SIG-Storage,jsafrane ,"Default storage classes are deployed during installation on Azure, AWS, GCE, OpenStack and vSphere",yes,https://github.com/kubernetes/kubernetes.github.io/pull/2745,Complete,Complete,yes,
Create environment variables from all keys in a Secret/Configmap,Stable,SIG-Storage,pmorie,Populate environment variables from a configmap or secret.,yes,"https://github.com/kubernetes/kubernetes.github.io/pull/1967
https://github.com/kubernetes/kubernetes.github.io/pull/2334",Complete,Complete,yes,
External provisioners,Stable,SIG-Storage,wongma7 ,Support for user-written/run dynamic PV provisioners. See github.com/kubernetes-incubator/external-storage for a golang library and examples,yes,https://github.com/kubernetes/kubernetes.github.io/pull/2843,Complete,Complete,yes,
DellEMC ScaleIO Volume Plugin,Stable,SIG-Storage,vladimirvivien,ScaleIO Kubernetes Volume Plugin added enabling pods to seamlessly access and use data stored on ScaleIO volumes.,yes,https://github.com/kubernetes/kubernetes.github.io/pull/2741,Complete,Complete,yes,
Portworx Volume Plugin,Stable,SIG-Storage,adityadani ,"Portworx Volume Plugin added capability to use [Portworx](http://www.portworx.com) as a storage provider for Kubernetes clusters. Portworx pools your servers capacity and turns your servers or cloud instances into converged, highly available compute and storage nodes.",yes,https://github.com/kubernetes/kubernetes.github.io/pull/2854,Complete,Complete,yes,
Customized mounts in chroot to GA ,Stable,SIG-Storage,jingxu97,"Add support to use NFSv3, NFSv4, and GlusterFS on GCI image cluster",yes,https://github.com/kubernetes/community/pull/466,Complete,Complete,yes,
