586: Azure Availability Zones,Tracked,Net New,Alpha,azure,feiskyer,community#2364,,,Yes,Complete,https://github.com/kubernetes/website/pull/9939,,,,Add support of Azure Availability Zones,
587: Resource Quota API,Tracked,Graduating,Beta,api-machinery,vikaschoudhary16,,,,Yes,Complete,https://github.com/kubernetes/website/pull/10217,,,,Support for the ability to configure the quota system to identify specific resources that are limited by default. A limited resource means its consumption is denied absent a covering quota. This is in contrast to the current behavior where consumption is unlimited absent a covering quota. Intended use case is to allow operators to restrict consumption of high-cost resources by default.,
591: Horizontal Pod Autoscaler to reach proper size faster,Tracked,Graduating,Beta,autoscaling,jbartosik,,,,Needs Update,Complete,https://github.com/kubernetes/website/pull/9780,,,,Improvements allowing Horizontal Pod Autoscaler to reach proper size faster,
592: TTL after finish,Tracked,Net New,Alpha,apps,janetkuo,https://goo.gl/YxtxTi,,,Yes,Complete,https://github.com/kubernetes/website/pull/10064,,,,Introduce a TTL controller to clean up Jobs and Pods after they finish,
593: Scheduler checks feasibility and scores a subset of all cluster nodes,Tracked,Net New,Alpha,scheduling,bsalamat,kubernetes#66627,,,Yes,Complete,https://github.com/kubernetes/website/pull/10048,,,,Scheduler checks feasibility and scores a subset of all cluster nodes,
594: CSI Cluster Registration Mechanism,Tracked,Net New,Alpha,storage,"saad-ali, jsafrane",Google Doc,,,None Required,N/A,,,,,"Introduce the ability for a CSI driver (optionally) to register it self with the Kubernetes API to 1) Make it easy for end users to discover CSI drivers installed on their cluster AND 2) Allow CSI drivers to customize how Kubernetes interacts with them (e.g. skip attach operation, etc.)",
595: Kubelet Device Plugin Registration,Tracked,Graduating,Beta,node,vikaschoudhary16,Google Doc,kubernetes#65773,,Needs Update,N/A,Kubelet Docs,,,,"Kubelet should have a standard way to discover local plugins (CSI, GPU, etc.)",
603: Pass Pod information in CSI calls,Tracked,Net New,Alpha,storage,jsafrane,community#1937,,,None Required,N/A,CSI docs,,,,CSI driver may opt-in to receive information about Pod that requested a volume in NodePublish request,
604: Cross resource group nodes,Tracked,Net New,Alpha,azure,feiskyer,,,,None Required,N/A,Will be in kubernetes/cloud-provider-azure,,,,Add support of cross resource group nodes,
612: Quota by Priority,Tracked,Graduating,Beta,scheduling,bsalamat,,,,Yes,Complete,https://github.com/kubernetes/website/pull/10229,,,,,
"614: SCTP support for Services, Pod, Endpoint, and NetworkPolicy",Tracked,Net New,Alpha,network,janosi,0015-20180614-SCTP-support.md,kubernetes#64973,,Yes,Complete,https://github.com/kubernetes/website/pull/10279,,,,"SCTP is now supported as additional protocol (alpha) alongside TCP and UDP in Pod, Service, Endpoint, and NetworkPolicy.",
